participant,gender,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating
UVBY3,Male,dph,15,theta,-0.6288658066744759,21.34776443621548,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,16,theta,-0.27759516426991127,21.498522268541265,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,17,theta,0.17495433191904297,21.194670308750943,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,18,theta,0.170512190202448,20.84497662140545,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,19,theta,-0.36964618034753016,20.867116179718092,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,20,theta,-1.001414960886553,21.31283521014599,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,21,theta,-1.1512368021004562,21.82873144518746,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,22,theta,-0.8225784375735579,21.809995137064906,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,23,theta,-0.5584015831961793,20.882490668350016,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,24,theta,-0.6557270977184899,19.518545087151793,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,25,theta,-0.8513780438973342,18.682857991610078,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,26,theta,-0.7797970540222074,19.02302688852905,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,27,theta,-0.34780320774121876,19.97926151067309,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,28,theta,0.05885859091562651,20.23941755995197,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,29,theta,0.07668138559914439,18.96725172956334,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,30,theta,-0.08072276142494061,16.82450565415917,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,31,theta,-0.26148875261376503,15.336249623165603,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,32,theta,-0.5608591306097814,15.242100498553738,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,33,theta,-0.8721547312029365,16.168998101318593,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,34,theta,-1.1246396094548672,17.48648454051846,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,35,theta,-1.2517824177645807,18.227471762874963,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,36,theta,-1.1638368011509215,17.941560181281623,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,37,theta,-1.0420101598025546,17.227894157772237,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,38,theta,-1.0366548825941884,16.964024251653868,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,39,theta,-1.0702070077666193,17.623152937847443,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,40,theta,-1.1036450434776164,18.609570451571166,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,41,theta,-0.9886270615632462,18.86724942228181,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,42,theta,-0.7705961647907671,18.22485626147281,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,43,theta,-0.7838249808257629,17.420220616485413,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,44,theta,-1.0315915770739643,17.310874167623794,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,45,theta,-1.4053400314543723,17.876908778307484,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,46,theta,-1.6813316861635066,18.12966657676702,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,47,theta,-1.508363488346994,17.630526137381423,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,48,theta,-1.0083570294797255,16.884310425886067,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,49,theta,-0.48715117666231933,16.424207900319235,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,50,theta,-0.039344849856625785,16.388389640353306,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,51,theta,0.2512787107152086,16.374333098323685,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,52,theta,0.38895051527388347,15.908681042158097,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,53,theta,0.46588481330135423,15.261183616272586,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,54,theta,0.5726358780777048,14.751020111546278,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,55,theta,0.8709634918349725,14.538662035699934,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,56,theta,1.517642411873057,14.790853938458682,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,57,theta,2.2541986023907246,15.362475561637668,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,58,theta,2.451948483558013,15.843554007824778,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,59,theta,0.6164598094966793,4.539135090846037,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,0,alpha,0.8268308215551716,11.061904107721997,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,1,alpha,0.7565573267109702,10.94974130444795,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,2,alpha,0.5688738508106912,10.656195841406625,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,3,alpha,0.42814060721807223,10.429526090082405,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,4,alpha,0.41095918714381696,10.402086546469349,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,5,alpha,0.4066852894237236,10.409604859548963,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,6,alpha,0.28047182071956733,10.244908939791145,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,7,alpha,0.050766863919143645,9.83936727040979,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,8,alpha,-0.102946011182242,9.410306788557367,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,9,alpha,-0.065301889387257,9.222213039077282,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,10,alpha,0.05286438945152838,9.233239158198284,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,11,alpha,0.08907577595181593,9.158884114509501,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,12,alpha,-0.018252348454435463,8.843649009254285,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,13,alpha,-0.17633511681683345,8.383823204782935,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,14,alpha,-0.24036059013676603,8.07665037696966,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,15,alpha,-0.22275739091894486,8.084746253120304,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,16,alpha,-0.14275476858940195,8.391814888958795,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,17,alpha,0.0595402804753995,8.964212671757764,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,18,alpha,0.3196430791061857,9.641854881647212,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,19,alpha,0.44186301822650087,10.073869245421635,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,20,alpha,0.3534328345764166,10.04921831707706,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,21,alpha,0.16352230515513533,9.778558007836667,6.418749999999999,3.5125,7.384374999999999
