participant,video_id,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating,negativity_type,positivity_type,net_predisposition_type
3I6EY,jbg,delta,-1.0609350401817252,12.377322921996068,6.878125,3.775,7.69375,HN,LP,HNP
3I6EY,jbg,theta,4.010140788477692,28.883389529987433,6.878125,3.775,7.69375,HN,LP,HNP
3I6EY,jbg,alpha,-0.4716178618884843,9.265302012311759,6.878125,3.775,7.69375,HN,LP,HNP
3I6EY,jbg,beta,-0.5098016986227556,15.761093733584786,6.878125,3.775,7.69375,HN,LP,HNP
3I6EY,jbg,gamma,-1.7408725531519913,28.545729390388402,6.878125,3.775,7.69375,HN,LP,HNP
3I6EY,ndp,delta,-0.7483602507978357,14.649149642731796,9.578125,1.421875,8.48125,HN,LP,HNP
3I6EY,ndp,theta,1.2540827070757814,26.62467498882103,9.578125,1.421875,8.48125,HN,LP,HNP
3I6EY,ndp,alpha,-0.11994488820374904,12.813446465970497,9.578125,1.421875,8.48125,HN,LP,HNP
3I6EY,ndp,beta,-0.05280758447931255,12.129250821553898,9.578125,1.421875,8.48125,HN,LP,HNP
3I6EY,ndp,gamma,-0.21143113511709188,29.32682857627949,9.578125,1.421875,8.48125,HN,LP,HNP
3I6EY,gam,delta,-0.6395194468780154,15.850616026835006,1.6843750000000002,9.475,1.4874999999999998,LN,HP,LNP
3I6EY,gam,theta,0.1524425861903751,26.36063108191794,1.6843750000000002,9.475,1.4874999999999998,LN,HP,LNP
3I6EY,gam,alpha,-0.07292720995118707,10.143020424722572,1.6843750000000002,9.475,1.4874999999999998,LN,HP,LNP
3I6EY,gam,beta,0.069005740208123,19.584128287707657,1.6843750000000002,9.475,1.4874999999999998,LN,HP,LNP
3I6EY,gam,gamma,0.42112831732501377,23.941766902299094,1.6843750000000002,9.475,1.4874999999999998,LN,HP,LNP
3I6EY,bls,delta,-0.2300908474406267,13.651092689984585,2.696875,5.63125,3.5781250000000004,LN,HP,LNP
3I6EY,bls,theta,-1.567878667824374,29.842501884235922,2.696875,5.63125,3.5781250000000004,LN,HP,LNP
3I6EY,bls,alpha,0.4344461800955397,10.228382686364494,2.696875,5.63125,3.5781250000000004,LN,HP,LNP
3I6EY,bls,beta,0.3133365270255286,11.599735511592552,2.696875,5.63125,3.5781250000000004,LN,HP,LNP
3I6EY,bls,gamma,0.731983229138045,29.83012638524591,2.696875,5.63125,3.5781250000000004,LN,HP,LNP
3I6EY,blf,delta,-3.0373439849012094,20.70741158022672,5.415625,5.396875,3.83125,HN,HP,LNP
3I6EY,blf,theta,1.509706329559041,23.386501611735603,5.415625,5.396875,3.83125,HN,HP,LNP
3I6EY,blf,alpha,-0.3069661244124493,12.386324338211292,5.415625,5.396875,3.83125,HN,HP,LNP
3I6EY,blf,beta,-0.6055255108314714,11.388520868059478,5.415625,5.396875,3.83125,HN,HP,LNP
3I6EY,blf,gamma,2.882468892019247,28.32286983204093,5.415625,5.396875,3.83125,HN,HP,LNP
3I6EY,ser,delta,-0.9966669039097003,11.410834514333956,9.540625,1.3562500000000002,9.15625,HN,LP,HNP
3I6EY,ser,theta,-0.19100376021602727,23.876799182902673,9.540625,1.3562500000000002,9.15625,HN,LP,HNP
3I6EY,ser,alpha,0.015053809781674587,12.220485915982975,9.540625,1.3562500000000002,9.15625,HN,LP,HNP
3I6EY,ser,beta,1.0093293502534806,22.207300197231376,9.540625,1.3562500000000002,9.15625,HN,LP,HNP
3I6EY,ser,gamma,0.34409181578811854,27.01019134577544,9.540625,1.3562500000000002,9.15625,HN,LP,HNP
