participant,gender,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating
SDE14,Female,blf,23,alpha,-0.22890395586198053,10.161214487261855,1.665625,3.540625,5.678125
SDE14,Female,blf,24,alpha,0.5149275111018721,10.1020417738623,1.665625,3.540625,5.678125
SDE14,Female,blf,25,alpha,1.0486227468109597,10.153065111659629,1.665625,3.540625,5.678125
SDE14,Female,blf,26,alpha,0.5638141762658027,10.185110107769415,1.665625,3.540625,5.678125
SDE14,Female,blf,27,alpha,-0.5317475625981114,10.097043539317774,1.665625,3.540625,5.678125
SDE14,Female,blf,28,alpha,-1.3210646160794184,9.859921568441846,1.665625,3.540625,5.678125
SDE14,Female,blf,29,alpha,-1.3819754467576981,9.554602334732293,1.665625,3.540625,5.678125
SDE14,Female,blf,30,alpha,-1.0783307824220962,9.276860981716236,1.665625,3.540625,5.678125
SDE14,Female,blf,31,alpha,-0.8087485820893043,9.091047357045046,1.665625,3.540625,5.678125
SDE14,Female,blf,32,alpha,-0.3963312887123944,9.079606192743022,1.665625,3.540625,5.678125
SDE14,Female,blf,33,alpha,0.46426450261189345,9.357329784872999,1.665625,3.540625,5.678125
SDE14,Female,blf,34,alpha,1.5111020759435867,9.929110075963457,1.665625,3.540625,5.678125
SDE14,Female,blf,35,alpha,2.0048811783602503,10.592410882470922,1.665625,3.540625,5.678125
SDE14,Female,blf,36,alpha,1.6746670881198806,10.956876979354796,1.665625,3.540625,5.678125
SDE14,Female,blf,37,alpha,0.9512061524266304,10.86959058406607,1.665625,3.540625,5.678125
SDE14,Female,blf,38,alpha,0.3767298282664182,10.691523273299522,1.665625,3.540625,5.678125
SDE14,Female,blf,39,alpha,-0.04101271585793498,10.821677576520269,1.665625,3.540625,5.678125
SDE14,Female,blf,40,alpha,-0.45013422981487494,11.23279537592051,1.665625,3.540625,5.678125
SDE14,Female,blf,41,alpha,-0.725117450387236,11.563430995538326,1.665625,3.540625,5.678125
SDE14,Female,blf,42,alpha,-0.7566233113837715,11.446146364988863,1.665625,3.540625,5.678125
SDE14,Female,blf,43,alpha,-0.654058667563497,10.981983467915407,1.665625,3.540625,5.678125
SDE14,Female,blf,44,alpha,-0.6595109744341414,10.751643582501382,1.665625,3.540625,5.678125
SDE14,Female,blf,45,alpha,-0.8616970535473047,11.177371953527667,1.665625,3.540625,5.678125
SDE14,Female,blf,46,alpha,-0.9769544326895296,11.981442065549897,1.665625,3.540625,5.678125
SDE14,Female,blf,47,alpha,-0.8679777226940466,12.518462050966733,1.665625,3.540625,5.678125
SDE14,Female,blf,48,alpha,-0.9243399126343856,12.456518158503734,1.665625,3.540625,5.678125
SDE14,Female,blf,49,alpha,-1.51279898308103,11.944495825337361,1.665625,3.540625,5.678125
SDE14,Female,blf,50,alpha,-2.352419946167176,11.339044596656453,1.665625,3.540625,5.678125
